No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
273,bmg2024llrj,2024-06-11T22:09:32.183093Z,-7.178668499,103.3684769,4.428430635,M,10,56,232.782486,"Southwest of Sumatra, Indonesia",
254,bmg2024lpcw,2024-06-13T19:22:47.087692Z,-7.615085602,104.2672195,3.656791253,M,13,26,230.9015503,"Southwest of Sumatra, Indonesia",
230,bmg2024lrhc,2024-06-14T23:47:45.114516Z,-6.054389,102.7891312,4.82599582,Mw(mB),40,142,210.1593399,"Southwest of Sumatra, Indonesia",
165,bmg2024macb,2024-06-19T19:27:47.60275Z,-3.613270998,99.54656982,4.715310941,M,28,112,138.2783508,"Southwest of Sumatra, Indonesia",
30,bmg2024mrfo,2024-06-29T04:32:25.156752Z,-6.334906101,103.5962677,4.714636431,M,10,70,200.7658844,"Southwest of Sumatra, Indonesia",
291,bmg2024nmhj,2024-07-10T17:18:45.205225Z,-5.133565426,101.1176758,4.305920317,M,6,82,220.3611984,"Southwest of Sumatra, Indonesia",
240,bmg2024nrww,2024-07-13T18:49:25.287693Z,-5.135151863,101.063858,4.792663422,MLv,25,107,153.5592041,"Southwest of Sumatra, Indonesia",
204,bmg2024nyzg,2024-07-17T15:59:23.372382Z,-3.388556957,99.55054474,3.6540773,M,35,41,219.8302002,"Southwest of Sumatra, Indonesia",
156,bmg2024ofef,2024-07-21T01:18:09.179529Z,-6.288981915,103.6168289,3.750325288,M,10,38,199.7744598,"Southwest of Sumatra, Indonesia",
135,bmg2024ojdf,2024-07-23T05:21:21.846109Z,-4.958171844,100.1319427,4.804347635,M,30,80,226.9456787,"Southwest of Sumatra, Indonesia",
95,bmg2024onmy,2024-07-25T14:48:17.48095Z,-6.312166691,103.8450775,4.294055351,M,10,58,220.2595825,"Southwest of Sumatra, Indonesia",
90,bmg2024onrr,2024-07-25T17:11:41.676702Z,-6.058104038,102.8572693,4.881865804,Mw(mB),27,225,209.386673,"Southwest of Sumatra, Indonesia",
443,bmg2024phlr,2024-08-05T12:53:09.083217Z,-6.384776592,103.65242,3.340597075,MLv,20,17,288.8267746,"Southwest of Sumatra, Indonesia",
442,bmg2024phlv,2024-08-05T12:57:23.575888Z,-6.199171543,103.705246,3.057275613,MLv,11,15,280.9317245,"Southwest of Sumatra, Indonesia",
426,bmg2024pkez,2024-08-07T00:55:19.269659Z,-0.452912986,97.21221161,3.669722182,M,10,24,239.4879196,"Southwest of Sumatra, Indonesia",
343,bmg2024pwqd,2024-08-13T20:10:48.710921Z,-5.298910141,101.8312454,3.65830748,M,19,25,250.2432861,"Southwest of Sumatra, Indonesia",
100,bmg2024qsqy,2024-08-25T21:34:35.837234Z,-4.131798744,99.41867065,4.28027391,M,10,64,238.4642029,"Southwest of Sumatra, Indonesia",
510,bmg2024rguc,2024-09-02T15:05:08.263298Z,-6.321535587,103.9691772,3.160514513,M,18,22,197.4981766,"Southwest of Sumatra, Indonesia",
507,bmg2024rgvp,2024-09-02T15:49:52.245751Z,-1.965594053,97.83301544,3.574783409,MLv,27,41,246.9081268,"Southwest of Sumatra, Indonesia",
96,bmg2024suno,2024-09-24T09:12:27.460068Z,-9.228997231,104.1638489,4.780175251,M,47,66,257.542984,"Southwest of Sumatra, Indonesia",
40,bmg2024taop,2024-09-27T16:33:31.478125Z,-6.06962347,103.7032776,3.647981331,M,13,21,223.5965805,"Southwest of Sumatra, Indonesia",
438,bmg2024trpy,2024-10-07T00:33:00.715384Z,-6.979088306,103.3541794,4.642534012,M,82,67,234.9509277,"Southwest of Sumatra, Indonesia",BMKG
