No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
148,bmg2023kejj,2023-05-25T16:37:57.277277Z,-5.594045639,103.2405853,3.966924533,MLv,19,34,171.2665482,"Southern Sumatra, Indonesia",BMKG
133,bmg2023kfas,2023-05-26T01:24:06.254359Z,-0.806333721,99.93092346,3.848568678,MLv,61,49,98.72662354,"Southern Sumatra, Indonesia",BMKG
104,bmg2023kgra,2023-05-26T22:46:46.158055Z,-4.862980843,103.9416656,2.431489192,M,11,11,92.44686508,"Southern Sumatra, Indonesia",BMKG
80,bmg2023kinv,2023-05-27T23:26:28.624993Z,-4.891650677,102.8664856,3.411036013,MLv,27,45,114.000618,"Southern Sumatra, Indonesia",BMKG
78,bmg2023kiww,2023-05-28T03:59:21.150049Z,-4.312849045,103.0644608,3.168510631,MLv,77,41,80.66653442,"Southern Sumatra, Indonesia",BMKG
58,bmg2023kkxr,2023-05-29T06:40:22.303123Z,-4.685559273,104.6000977,3.794865785,MLv,184,28,152.5266724,"Southern Sumatra, Indonesia",BMKG
30,bmg2023knsu,2023-05-30T19:37:27.501025Z,-0.359541208,100.4761963,2.894033763,MLv,14,20,63.57957077,"Southern Sumatra, Indonesia",BMKG
20,bmg2023konh,2023-05-31T05:58:26.871514Z,-2.163167238,101.9427185,2.644502567,M,146,17,188.5303192,"Southern Sumatra, Indonesia",BMKG
19,bmg2023koqy,2023-05-31T07:49:07.643131Z,-2.20287919,100.7338791,3.31550281,MLv,33,25,217.660675,"Southern Sumatra, Indonesia",BMKG
13,bmg2023kozi,2023-05-31T12:04:02.298509Z,-5.797849178,102.9487762,3.737673096,M,13,11,230.1831818,"Southern Sumatra, Indonesia",BMKG
1,bmg2023kpwa,2023-05-31T23:31:47.515816Z,-3.083857775,101.2425461,3.419545769,MLv,23,32,146.0402069,"Southern Sumatra, Indonesia",BMKG
839,bmg2023kqbl,2023-06-01T02:16:20.617518Z,-3.109689713,102.2306213,3.154272203,MLv,10,15,123.3348999,"Southern Sumatra, Indonesia",BMKG
826,bmg2023kqpt,2023-06-01T09:29:32.049539Z,-0.302366495,100.3932037,3.811349725,MLv,10,30,98.14767456,"Southern Sumatra, Indonesia",BMKG
823,bmg2023kqzy,2023-06-01T14:38:06.091092Z,-1.838928461,100.4129028,3.115567233,MLv,27,35,122.7675781,"Southern Sumatra, Indonesia",BMKG
821,bmg2023krbd,2023-06-01T15:14:45.620506Z,-3.080286503,102.2273178,3.255523694,M,10,46,86.23686218,"Southern Sumatra, Indonesia",BMKG
815,bmg2023krsb,2023-06-01T23:47:58.166145Z,-3.686361313,101.502449,4.241985843,MLv,17,91,155.0398254,"Southern Sumatra, Indonesia",BMKG
798,bmg2023kstm,2023-06-02T13:39:06.487539Z,-1.644914746,99.5009613,3.255378811,MLv,10,24,138.7966003,"Southern Sumatra, Indonesia",BMKG
797,bmg2023ksty,2023-06-02T13:53:11.081702Z,-2.918592453,102.6832962,3.194113259,MLv,154,33,115.7933321,"Southern Sumatra, Indonesia",BMKG
783,bmg2023ktsa,2023-06-03T02:02:21.869988Z,-2.724271774,101.3019104,2.620388148,MLv,55,16,194.6755829,"Southern Sumatra, Indonesia",BMKG
734,bmg2023kxpl,2023-06-05T05:16:47.746934Z,-4.648116112,102.3244324,3.379098778,MLv,46,29,149.7303467,"Southern Sumatra, Indonesia",BMKG
729,bmg2023kxvb,2023-06-05T08:07:12.490971Z,-5.530058861,104.6861649,3.325119656,M,10,19,109.0304718,"Southern Sumatra, Indonesia",BMKG
722,bmg2023kygo,2023-06-05T13:56:31.259063Z,-2.794837236,100.4551544,3.323448555,MLv,32,27,189.8614426,"Southern Sumatra, Indonesia",BMKG
706,bmg2023kzjn,2023-06-06T04:33:50.821208Z,-2.162189007,100.5313339,2.919416928,MLv,10,16,155.7919464,"Southern Sumatra, Indonesia",BMKG
705,bmg2023kzjz,2023-06-06T04:48:14.666687Z,-0.13662298,100.2107697,2.3025813,M,10,13,92.07377625,"Southern Sumatra, Indonesia",BMKG
681,bmg2023laid,2023-06-06T16:59:51.081478Z,-5.145637989,102.452179,3.141529694,MLv,21,28,117.7878647,"Southern Sumatra, Indonesia",BMKG
679,bmg2023lajx,2023-06-06T17:53:51.491358Z,-5.704535007,103.2666702,3.64865261,MLv,12,28,193.0409241,"Southern Sumatra, Indonesia",BMKG
640,bmg2023lcql,2023-06-07T23:28:35.674097Z,-2.176660299,101.1143188,2.686222539,MLv,59,32,76.79577637,"Southern Sumatra, Indonesia",BMKG
617,bmg2023ldwe,2023-06-08T15:29:47.082225Z,-1.376228213,101.5018921,2.505474711,MLv,10,12,139.6604004,"Southern Sumatra, Indonesia",BMKG
582,bmg2023lfvf,2023-06-09T17:17:33.025297Z,-1.01701045,98.33238983,4.660748964,MLv,36,88,199.8264465,"Southern Sumatra, Indonesia",BMKG
568,bmg2023lgjl,2023-06-10T00:29:09.817191Z,-0.159927711,100.1311646,2.637126634,M,16,22,119.6618652,"Southern Sumatra, Indonesia",BMKG
565,bmg2023lgpo,2023-06-10T03:34:25.65414Z,-4.804627419,101.7768402,3.80103455,M,55,16,224.5285213,"Southern Sumatra, Indonesia",BMKG
550,bmg2023lhml,2023-06-10T15:07:44.095478Z,-5.845862865,103.9799805,4.720638279,MLv,46,131,107.2918396,"Southern Sumatra, Indonesia",BMKG
546,bmg2023lhvs,2023-06-10T19:48:56.386245Z,-0.753116787,99.85568237,3.008744774,MLv,57,41,101.9010315,"Southern Sumatra, Indonesia",BMKG
544,bmg2023lico,2023-06-10T23:16:11.731095Z,-0.598064423,100.4504471,3.515199778,MLv,10,35,65.93940735,"Southern Sumatra, Indonesia",BMKG
