No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
146,bmg2009eyfh,2009-03-12T05:10:15.013064Z,-4.6760044,101.81324,4.2798043,MLv,17,11,244.60612,"Southern Sumatra, Indonesia",BMG
142,bmg2009eyli,2009-03-12T08:12:27.386186Z,5.1266541,95.836571,3.4011968,MLv,40,6,160.21069,"Northern Sumatra, Indonesia",BMG
139,bmg2009ezex,2009-03-12T18:06:36.659197Z,2.4679186,96.248894,3.4577571,MLv,27,9,243.16613,"Northern Sumatra, Indonesia",BMG
135,bmg2009fact,2009-03-13T06:10:52.531304Z,-3.7830706,101.70715,3.8717201,MLv,10,6,234.00827,"Southern Sumatra, Indonesia",BMG
129,bmg2009fcps,2009-03-14T15:01:04.751376Z,-3.0857549,100.94638,4.2583903,MLv,27,11,223.61562,"Southern Sumatra, Indonesia",BMG
120,bmg2009fens,2009-03-15T16:17:46.981807Z,-1.3455461,100.40587,4.0480822,MLv,36,12,131.1339,"Southern Sumatra, Indonesia",BMG
87,bmg2009fkuk,2009-03-19T02:32:40.399937Z,1.6776623,96.851227,4.4244578,MLv,21,7,282.49137,"Northern Sumatra, Indonesia",BMG
74,bmg2009fnlz,2009-03-20T13:42:52.251959Z,1.4723798,97.483521,4.0476696,MLv,10,15,180.2009,"Northern Sumatra, Indonesia",BMG
73,bmg2009fnof,2009-03-20T14:50:13.800531Z,-5.6452546,103.58426,4.426743,MLv,10,11,219.08475,"Southern Sumatra, Indonesia",BMG
59,bmg2009frny,2009-03-22T19:18:54.327766Z,2.5748696,95.427666,4.653563,mb,10,20,229.41626,"Northern Sumatra, Indonesia",BMG
58,bmg2009froa,2009-03-22T19:18:54.331415Z,2.5673673,95.445999,4.3742493,MLv,10,16,229.04443,"Northern Sumatra, Indonesia",BMG
45,bmg2009fwfa,2009-03-25T08:29:33.016849Z,1.8508947,99.245171,3.969858,MLv,171,12,94.455963,"Northern Sumatra, Indonesia",BMG
44,bmg2009fwfn,2009-03-25T08:45:00.561662Z,-5.3584304,103.60552,3.8604912,MLv,39,6,226.29305,"Southern Sumatra, Indonesia",BMG
36,bmg2009fykz,2009-03-26T13:47:59.780724Z,-5.2040148,104.08275,3.6369502,MLv,165,7,143.09418,"Southern Sumatra, Indonesia",BMG
33,bmg2009fypb,2009-03-26T15:50:57.248131Z,-3.6314473,100.61724,4.62585,MLv,20,12,226.1357,"Southern Sumatra, Indonesia",BMG
31,bmg2009fzqd,2009-03-27T05:32:15.147071Z,-1.5785918,100.03359,3.6588468,MLv,15,6,239.44904,"Southern Sumatra, Indonesia",BMG
29,bmg2009gaof,2009-03-27T17:42:44.316517Z,-3.8392551,105.72189,4.2545079,mb,48,9,93.154999,"Southern Sumatra, Indonesia",BMG
25,bmg2009gbpn,2009-03-28T07:31:08.611526Z,-3.2393587,102.88439,4.4898369,MLv,187,18,79.000809,"Southern Sumatra, Indonesia",BMG
18,bmg2009gcvr,2009-03-28T23:47:04.947735Z,1.0159264,99.495438,4.5257782,MLv,10,12,123.5452,"Northern Sumatra, Indonesia",BMG
11,bmg2009gekk,2009-03-29T20:22:20.110395Z,-2.0909657,104.44125,4.3793833,MLv,38,10,110.06305,"Southern Sumatra, Indonesia",BMG
233,bmg2009gkkd,2009-04-02T03:06:29.85733Z,5.6102242,96.147995,3.0022986,MLv,12,13,212.98139,"Northern Sumatra, Indonesia",BMG
226,bmg2009gmie,2009-04-03T04:23:55.435115Z,2.2945595,95.652054,4.1298423,MLv,75,8,236.5667,"Northern Sumatra, Indonesia",BMG
224,bmg2009gmmp,2009-04-03T06:38:23.543222Z,4.7044544,96.086159,2.9969706,MLv,28,5,189.92628,"Northern Sumatra, Indonesia",BMG
218,bmg2009gnda,2009-04-03T14:56:36.203417Z,-2.1446767,102.22801,3.7547419,MLv,153,13,184.4485,"Southern Sumatra, Indonesia",BMG
208,bmg2009gpbb,2009-04-04T16:14:02.782466Z,-5.5135498,102.87302,3.1664803,MLv,12,7,239.97027,"Southern Sumatra, Indonesia",BMG
204,bmg2009gpit,2009-04-04T20:07:10.064978Z,-4.8579373,101.75893,4.1315746,MLv,20,8,280.49838,"Southern Sumatra, Indonesia",BMG
200,bmg2009gqvm,2009-04-05T15:42:03.432878Z,-4.6249304,104.31529,1.5908846,MLv,28,5,170.72974,"Southern Sumatra, Indonesia",BMG
198,bmg2009grif,2009-04-05T22:08:47.562456Z,-1.6902399,102.9303,4.3928009,MLv,23,10,204.49556,"Southern Sumatra, Indonesia",BMG
192,bmg2009grsi,2009-04-06T03:14:47.787345Z,2.5967233,96.137718,3.8638903,MLv,13,7,245.37907,"Northern Sumatra, Indonesia",BMG
186,bmg2009gtge,2009-04-06T23:23:33.985431Z,2.0818408,96.110016,4.0894267,MLv,29,9,228.7695,"Northern Sumatra, Indonesia",BMG
177,bmg2009gwpp,2009-04-08T19:36:00.791196Z,-0.081939399,98.132744,4.4182015,MLv,30,18,202.47382,"Southern Sumatra, Indonesia",BMG
176,bmg2009gwpu,2009-04-08T19:41:59.757738Z,-5.6791854,103.70494,1.8051031,MLv,10,14,207.81812,"Southern Sumatra, Indonesia",BMG
170,bmg2009gxck,2009-04-09T02:04:14.138089Z,2.2514071,96.042969,4.1151284,MLv,49,10,225.34261,"Northern Sumatra, Indonesia",BMG
151,bmg2009hapj,2009-04-11T00:03:29.186882Z,1.0519472,96.943542,4.272049,MLv,17,7,207.7419,"Northern Sumatra, Indonesia",BMG
150,bmg2009hatf,2009-04-11T01:59:47.655613Z,1.1948361,97.263023,4.8552557,mb,21,42,203.24515,"Northern Sumatra, Indonesia",BMG
145,bmg2009hcyr,2009-04-12T07:02:50.297075Z,0.75783104,99.554474,4.2925389,MLv,144,12,136.49895,"Northern Sumatra, Indonesia",BMG
142,bmg2009hefm,2009-04-12T23:38:19.301045Z,-4.2287316,102.52921,4.3255131,MLv,61,7,209.95675,"Southern Sumatra, Indonesia",BMG
136,bmg2009hgae,2009-04-13T23:14:22.380651Z,-1.6231589,102.58596,4.2367502,MLv,253,11,199.47452,"Southern Sumatra, Indonesia",BMG
130,bmg2009hhon,2009-04-14T19:38:17.334664Z,1.9356842,96.668442,3.9067329,MLv,31,9,214.19961,"Northern Sumatra, Indonesia",BMG
129,bmg2009hhpe,2009-04-14T19:57:48.358103Z,-0.43533915,100.50047,3.6057724,MLv,4,8,82.559162,"Southern Sumatra, Indonesia",BMG
125,bmg2009hikg,2009-04-15T06:38:05.40602Z,-6.0392675,102.3082,4.4394759,MLv,16,8,264.25644,"Southwest of Sumatra, Indonesia",BMG
124,bmg2009hiur,2009-04-15T11:53:12.66907Z,-3.7694879,105.41529,3.5934001,MLv,10,10,120.27306,"Southern Sumatra, Indonesia",BMG
119,bmg2009hjec,2009-04-15T16:39:56.183085Z,-0.43359014,100.48903,3.8688392,MLv,10,12,72.654404,"Southern Sumatra, Indonesia",BMG
118,bmg2009hjef,2009-04-15T16:43:16.768046Z,-0.41312334,100.47415,4.0433306,MLv,10,14,64.254635,"Southern Sumatra, Indonesia",BMG
116,bmg2009hjle,2009-04-15T20:14:38.045485Z,-3.269558,100.2571,4.7379779,MLv,23,15,207.68333,"Southern Sumatra, Indonesia",BMG
115,bmg2009hjoh,2009-04-15T21:48:12.146459Z,-3.4594352,100.28748,3.8893262,MLv,10,13,216.93587,"Southern Sumatra, Indonesia",BMG
114,bmg2009hjrc,2009-04-15T23:13:52.195312Z,-3.6797171,100.06632,4.6025654,MLv,24,14,210.21416,"Southern Sumatra, Indonesia",BMG
113,bmg2009hjux,2009-04-16T01:08:50.569265Z,2.1411154,97.146317,3.2477229,MLv,91,10,135.3029,"Northern Sumatra, Indonesia",BMG
111,bmg2009hjwo,2009-04-16T01:59:29.884086Z,-6.7085061,102.69443,4.479694,MLv,12,16,243.12289,"Southwest of Sumatra, Indonesia",BMG
108,bmg2009hktl,2009-04-16T13:33:14.78262Z,3.3310874,97.177048,4.4713988,MLv,33,11,182.66211,"Northern Sumatra, Indonesia",BMG
107,bmg2009hlho,2009-04-16T20:42:28.822549Z,-3.4205036,100.11068,4.8899808,mb,12,35,211.67149,"Southern Sumatra, Indonesia",BMG
106,bmg2009hljv,2009-04-16T21:51:12.496376Z,3.3131685,98.002266,2.8422041,MLv,10,6,119.56619,"Northern Sumatra, Indonesia",BMG
104,bmg2009hmcy,2009-04-17T07:30:48.01302Z,-4.4368176,102.27116,3.0910965,MLv,86,9,178.94498,"Southern Sumatra, Indonesia",BMG
101,bmg2009hnsm,2009-04-18T04:31:01.317596Z,1.3764144,96.96936,4.1433062,MLv,25,11,209.9928,"Northern Sumatra, Indonesia",BMG
